,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
93,1958,MNL,1565.6999999999998,4063.8,3.5121,0.0,0.0,0.0,1511.6,4334.5,3.0705500000000003,2.6194,1319.8,1964.5500000000002,0.0,0.0,2860.4,665.0,0.0,0.0,0.0,1407.65,5333.349999999999,354.0,False
94,1958,NYK,1715.1,4263.1,3.5355,0.0,0.0,0.0,1591.8,4280.599999999999,3.0844,2.6068,1403.2,2005.2500000000002,0.0,0.0,2887.15,808.8000000000001,0.0,0.0,0.0,1303.0,5741.2,420.0,False
95,1958,PHW,1602.8,4121.0,2.9021,0.0,0.0,0.0,1521.8,4244.6,2.5334,2.2554,1156.3,1667.1000000000001,0.0,0.0,2612.15,781.1,0.0,0.0,0.0,1213.15,5307.7,412.0,True
96,1958,STL,1690.3999999999999,4091.2000000000003,3.5896,0.0,0.0,0.0,1624.8,4419.5,3.1961500000000003,2.763,1306.7,2014.3,0.0,0.0,3046.85,820.5,0.0,0.0,0.0,1313.65,5500.25,350.0,True
97,1958,SYR,1648.2,4172.7,2.64885,0.0,0.0,0.0,1549.3999999999999,4228.599999999999,2.31535,2.0479,1205.4,1675.9,0.0,0.0,2644.25,711.5,0.0,0.0,0.0,1232.85,5471.849999999999,410.0,True
99,1959,BOS,1863.7,4871.9,2.8215,0.0,0.0,0.0,1705.0,4659.4,2.45735,2.1422,1143.7,1634.95,0.0,0.0,3211.8,910.6,0.0,0.0,0.0,1199.75,5937.3,516.0,True
100,1959,CIN,1710.4,4186.2,3.96875,0.0,0.0,0.0,1673.8000000000002,4535.3,3.5455,3.1006,1029.4,1588.6000000000001,0.0,0.0,2741.1,757.2,0.0,0.0,0.0,1352.5500000000002,5345.749999999999,374.0,False
101,1959,DET,1655.0,4319.2,3.0481499999999997,0.0,0.0,0.0,1504.2,4199.1,2.6437500000000003,2.3382,1189.6,1715.45,0.0,0.0,2525.9500000000003,821.9000000000001,0.0,0.0,0.0,1289.1,5390.15,302.0,True
102,1959,MNL,1623.6,4039.1,2.7015000000000002,0.0,0.0,0.0,1536.6,4181.9,2.35015,2.0304,1195.1,1717.7,0.0,0.0,2685.3,735.6,0.0,0.0,0.0,1304.0,5401.0,238.0,True
103,1959,NYK,1730.4,4355.1,3.6536,0.0,0.0,0.0,1614.1999999999998,4364.5,3.29665,3.0332,1316.3,1834.45,0.0,0.0,2671.3,825.8000000000001,0.0,0.0,0.0,1360.45,5718.9,452.0,True
